object_id,area,elev_mean,clay_0_30cm_mean,sand_0_30cm_mean,silt_0_30cm_mean,artificial_surfaces_perc,agricultural_areas_perc,forests_and_seminatural_areas_perc,wetlands_perc,water_bodies_perc,p_mean,p_seasonality,frac_snow,high_prec_freq,low_prec_freq,high_prec_dur,low_prec_dur
DE110250,47.08,993.66,21.38,44.07,34.52,0.08,49.53,50.39,0,0,3.65,-0.06,0.17,16.04,208.83,1.17,3.87
DE110260,50.01,868.04,26.29,32.94,39.66,1.68,15.95,82.37,0,0,3.12,-0.08,0.12,18.55,220.81,1.18,3.87
DE110270,97.31,1031.38,19.3,42.42,37.7,2.23,22.73,75.04,0,0,4.76,-0.21,0.18,16.7,197.33,1.18,3.87
DE110280,24.22,589.75,31.33,23.43,39.92,5.91,42.29,51.8,0,0,3.7,-0.04,0.07,17.78,216.48,1.18,3.86
DE110290,46.03,509.71,29.25,27.55,39.43,4.49,26.31,69.19,0,0,3.24,0.16,0.05,17.06,216.82,1.18,3.86
DE110300,66.26,800.24,26.76,34.15,38.67,2.06,29.7,68.24,0,0,4.01,0.05,0.1,16.35,208.13,1.18,3.85
DE110310,957.44,604.81,26.6,29.93,41.01,3.65,22.63,73.66,0,0.06,3.73,-0.05,0.07,15.15,205.18,1.18,3.84
DE110320,126.79,655.69,25.14,34.94,39.33,0.78,8.69,90.52,0,0,4.34,-0.11,0.09,15.88,203.58,1.18,3.84
DE110330,145.48,793.3,25.49,33.16,40.05,3.18,25.95,70.86,0,0,4.16,-0.11,0.11,15.41,190.74,1.18,3.83
DE110340,53,642.06,25.98,33.03,39.91,2.9,19.61,77.49,0,0,4.92,-0.06,0.08,15.94,201.01,1.18,3.83
DE110350,458.75,707.45,30.17,16.31,44.44,13.11,51.72,35.04,0.13,0,2.45,0.15,0.09,16.83,222.46,1.18,3.83
DE110360,698.25,691.09,32.3,15.09,44.81,11.33,51.26,37.32,0.08,0,2.46,0.15,0.09,16.19,219.13,1.18,3.83
DE110370,1123.61,659.16,31.79,16.24,44.68,10.61,52.37,36.97,0.05,0,2.62,0.06,0.09,16.04,217.6,1.18,3.83
DE110380,135.02,690.33,25.31,34.81,38.01,2.82,20.68,76.1,0,0.39,3.52,-0.19,0.09,16.87,213.98,1.18,3.83
DE110390,133.15,459.64,28.11,14.83,43.83,15.67,73.71,10.62,0,0,2.03,0.24,0.06,18.35,238.69,1.18,3.84
DE110400,2334.24,595.39,30.16,16.94,44.63,11.11,51.29,37.55,0.02,0.03,2.43,0.17,0.07,15.37,218.56,1.18,3.84
DE110410,159.42,640.56,30.64,16.25,45.03,9.99,37.56,52.45,0,0,2.6,0.29,0.08,17.04,223.29,1.18,3.84
DE110420,416.7,430.8,30.72,19.63,38.03,13.56,43.26,43.18,0,0,2.69,0.12,0.06,15.26,203.86,1.18,3.84
DE110430,504.68,365.98,28.48,22.38,41.09,9.13,47.22,43.65,0,0,2.56,0.09,0.04,17.62,225.6,1.18,3.84
DE110440,180.34,436.25,29.34,25.8,42.25,3.46,30.52,66.02,0,0,2.83,0.05,0.06,16.72,212.36,1.18,3.84
DE110450,109.11,257.34,26.77,15.43,47.02,11.49,69.09,19.42,0,0,2.07,0.11,0.04,17.87,229.35,1.18,3.85
DE110460,100.23,434.92,27.96,25.37,46.61,0,15.81,84.18,0,0,2.65,-0.08,0.06,18.28,222.37,1.18,3.85
DE110470,257.79,228.1,26.21,14.49,49.47,10.77,69.12,20.1,0,0,2.19,0.06,0.03,17.02,218.36,1.18,3.86
DE110480,197.11,246.83,24.89,17.23,50.42,8.82,61.46,29.72,0,0,2.48,-0.03,0.04,17.43,219.77,1.18,3.87
DE110490,335.1,631.28,29.98,15.47,45.45,11.46,46.71,41.82,0,0,2.38,0.24,0.07,17.15,227.19,1.18,3.87
DE110500,68.14,564.14,32.62,17.47,43.57,9.29,55.03,35.68,0,0,2.97,0.18,0.08,17.25,221.73,1.18,3.87
DE110510,83.61,802.45,23.29,39.5,37.21,1.16,3.29,95.55,0,0,3.91,-0.12,0.13,16.35,206.19,1.18,3.86
DE110520,221.2,725.44,24.23,36.71,38.17,3.01,4.1,92.73,0.16,0,3.54,-0.1,0.11,16.25,208.81,1.18,3.86
DE110530,248.95,491.59,32.36,21.1,42.07,5.73,60.43,33.85,0,0,2.72,0.05,0.07,17.38,221.84,1.19,3.86
DE110540,151.67,347.73,28.2,20.37,42.79,10.24,55.97,33.79,0,0,2.4,0.08,0.05,17.68,230.65,1.19,3.87
DE110550,1025.06,458.58,33.17,17.47,45.34,5.02,63.96,30.96,0,0.06,2.28,0.08,0.07,16.58,223.28,1.19,3.87
DE110560,213.45,341.77,32.52,15.39,48.76,5.57,65.37,29.06,0,0,2.19,-0.02,0.05,17.59,226.02,1.19,3.88
DE110570,585.8,603.09,29.68,22.13,43.16,7.86,36.65,55.4,0,0.09,2.71,-0.03,0.08,16.57,219.28,1.19,3.88
DE110600,100.11,584.35,22.03,29.48,43.84,5.07,67.35,25.9,0.95,0.72,2.38,0.43,0.06,18.02,232.83,1.19,3.88
DE110610,29.78,909.46,25.11,28.42,45.42,2.25,35.85,61.9,0,0,3.94,-0.19,0.14,13.17,163.05,1.19,3.88
DE110620,151.84,685.4,24.05,33.85,38.53,3.59,66.21,22.12,7.41,0.67,3.04,0.32,0.08,17.35,220.32,1.19,3.88
DE110640,146.57,820.52,28.67,17.32,44.5,13.35,32.56,54.09,0,0,2.49,0.22,0.1,17.16,223.53,1.19,3.87
DE110650,99.26,631.87,31.1,16.62,49.01,4.85,58.65,36.5,0,0,2.35,0.19,0.09,18.07,231.32,1.19,3.88
DE110660,437.71,764.79,31.26,16.86,47.97,5.33,48.42,46.26,0,0,2.45,0.24,0.1,16.41,220.29,1.18,3.87
DE110670,309.04,597.35,30.18,18.95,47.52,4.46,59.57,35.97,0,0,2.29,0.19,0.08,17.63,230.89,1.18,3.88
DE110680,164.95,976.52,23.05,37.97,38.22,2.65,25.58,71.77,0,0,4.14,-0.17,0.15,16.72,204.73,1.18,3.87
DE110690,181.99,816.73,26.93,20.62,42.61,13.09,36.8,50.11,0,0,3.14,-0.08,0.11,16.76,217.32,1.19,3.87
DE110700,391.95,592.46,21.77,29.7,42.31,8.3,67.95,23.74,0,0,2.4,0.44,0.06,17.97,231.11,1.18,3.87
DE110710,126.2,600.19,21.5,28.78,41.05,12.06,65.98,21.96,0,0,2.45,0.43,0.05,17.66,230.64,1.18,3.87
DE110730,221.56,677.13,26.87,27.08,43.47,3.65,58.42,37.66,0,0.28,2.26,0.32,0.06,18.3,233.17,1.18,3.87
DE110750,131.59,867.73,29.45,18.91,47.37,6.87,35.87,57.26,0,0,2.58,0.23,0.11,17.06,221.27,1.18,3.87
DE110780,287.43,606.63,21.76,29.85,41.81,8.52,68.58,22.9,0,0,2.46,0.43,0.05,17.3,230.13,1.18,3.87
DE110790,58.11,651.19,23.67,29.72,41.07,6.96,72.66,20.37,0,0,2.55,0.42,0.06,17.79,232.13,1.18,3.87
DE110810,9.74,1006.13,23.3,40.8,35.9,0,31.61,68.39,0,0,4.44,-0.2,0.15,17.41,206.3,1.18,3.87
DE110820,24.99,684.67,27.25,32.56,39.44,1.12,81.18,17.7,0,0,2.73,0.37,0.07,17.39,225.63,1.18,3.87
DE110830,29.81,718.08,24.64,35.8,38.3,1.21,54.98,43.8,0,0,2.98,0.32,0.08,18,223.41,1.18,3.87
DE110840,7.07,705.65,26.28,34.72,39,0,73.97,26.03,0,0,2.89,0.34,0.08,18.44,229.37,1.18,3.87
DE110860,108.58,646.23,22.68,31.3,42.15,3.78,68.73,24.99,1.6,0.89,2.52,0.31,0.07,17.64,229.38,1.18,3.87
DE110870,18.62,941.01,25.42,36.34,38.24,0.31,10.78,88.91,0,0,4.91,0.16,0.13,17.19,205.27,1.18,3.86
DE110880,139.22,670.94,24.17,28.3,42.49,6.13,55.96,36.79,0,1.12,2.36,0.34,0.07,17.95,236.72,1.18,3.87
DE110900,293.08,902.17,25.75,31.71,40.24,4.16,32.04,63.69,0,0.11,3.57,-0.11,0.12,16.31,208.83,1.18,3.86
DE110920,467.66,664.06,22.43,36.3,37.62,4.68,9.55,85.63,0,0.14,4.37,-0.13,0.09,15.3,200.39,1.18,3.86
DE110930,175.79,304.69,26.27,21.34,45.62,10.97,52.24,36.79,0,0,2.71,0.04,0.05,17.42,221.97,1.18,3.86
DE110940,129.21,373.22,26,27.55,40.18,7.61,23.53,68.85,0,0,2.82,0.15,0.03,17.22,222.27,1.18,3.86
DE110950,263.67,790.76,24.38,33.85,39.9,2.95,60.82,35.28,0.79,0.16,4.55,0.18,0.1,16.23,203.6,1.18,3.86
DE110960,177.55,513.81,30.17,21.45,43.93,4.9,62.96,31.8,0,0.35,2.29,0.14,0.07,17.67,230.22,1.18,3.86
DE110970,812.19,469.29,32.81,17.89,44.51,5.86,63.55,30.51,0,0.08,2.26,0.08,0.07,16.84,228.31,1.18,3.86
DE110980,46.52,366.5,30.33,20.02,39.76,9.79,56,34.21,0,0,2.48,0.2,0.04,17.75,228.58,1.18,3.86
DE110990,29.44,392.88,31.04,22.47,40.07,7.09,40.92,51.99,0,0,2.34,0.25,0.04,18.32,234.19,1.18,3.86
DE111000,31.38,761.23,33.1,14.95,50.76,2.23,39.32,58.45,0,0,2.9,0.19,0.12,17.52,220.93,1.18,3.86
DE111010,146.02,681.84,31.98,15.82,47.61,6.08,49.05,44.87,0,0,2.81,0.2,0.1,17,221,1.18,3.86
DE111020,72.52,360.47,30.81,14.41,50.25,5.3,71.73,22.98,0,0,2.36,0.05,0.05,18.07,230.64,1.18,3.86
DE111030,3253.52,565.26,29.18,17.43,43.39,12.74,49.25,37.97,0.02,0.03,2.43,0.17,0.06,15.69,217.64,1.18,3.86
DE111040,566.88,406.77,29.57,19.38,37.1,15.5,44.46,40.05,0,0,2.57,0.12,0.05,16.36,221.1,1.18,3.86
DE111060,35.23,457.87,35.78,15.06,47.21,2.87,62.42,34.72,0,0,2.26,0.11,0.06,17.82,235.31,1.18,3.87
DE111070,238.95,493.55,27.27,14.87,40.54,19.53,46.64,33.83,0,0,2.05,0.26,0.06,18.44,237.81,1.18,3.87
DE111110,163.42,546.98,27.02,31.27,40.09,1.83,16.17,82,0,0,4.16,-0.1,0.06,16.28,207.11,1.18,3.87
DE111120,19.42,819.8,20.48,40.04,35.13,6.84,4.87,88.29,0,0,4.74,-0.2,0.12,17.14,204.82,1.18,3.87
DE111130,113.33,206.47,25.49,15.73,46.15,16.51,60.31,23.18,0,0,2.22,0.06,0.03,17.86,234.61,1.18,3.87
DE111140,649.51,711.38,23.91,33.68,39.91,3.41,67.52,28.42,0.59,0.06,4.31,0.21,0.08,16.29,204.37,1.18,3.87
DE111150,202.45,575.64,23.52,30.12,38.22,10.74,51.47,37.79,0,0,2.21,0.27,0.05,18.44,235.91,1.18,3.87
DE111160,776.11,581.87,21.64,32.4,39.42,8.03,64.05,27.08,0.61,0.23,2.81,0.34,0.06,17.62,223.17,1.18,3.87
DE111170,168.9,652.26,22.34,34.87,39.28,4,59.54,34.35,1.24,0.87,3.19,0.3,0.07,17.85,222.65,1.18,3.87
DE111180,73.43,631.3,24.27,33.61,40.56,2.51,62.38,35.12,0,0,2.77,0.31,0.06,17.45,217.64,1.18,3.87
DE111190,41.12,962.18,19.15,45.33,35.21,2.61,35.18,62.21,0,0,3.86,-0.02,0.12,15.41,199.61,1.18,3.86
DE111210,641.5,600.42,21.77,32.33,40.02,7.39,62.51,29.08,0.74,0.28,2.74,0.35,0.06,17.68,224.25,1.18,3.86
DE111220,126.51,561.1,22.6,33.18,38.75,7.9,69.2,22.4,0.5,0,2.75,0.3,0.05,18.29,229.61,1.18,3.86
DE111230,163.7,761.08,25.23,32.51,41.38,1.8,68.6,29.6,0.01,0,4.82,0.21,0.09,16.65,204.06,1.18,3.86
DE111240,128.99,886.6,25.37,33.81,40.08,2.43,56.86,40.45,0.27,0,4.96,0.18,0.12,16.35,201.92,1.18,3.86
DE111250,55.13,202.15,25.99,15.53,46.27,16.21,61.57,22.22,0,0,2.16,0.07,0.03,18.13,236.42,1.18,3.86
DE111260,73.69,463.98,23.53,29.88,40.61,10.21,6.13,83.66,0,0,3.84,-0.05,0.04,16.66,211.88,1.18,3.86
DE111270,189.04,526.63,28.92,17.77,40.84,15.69,55.43,28.88,0,0,2.77,0.26,0.05,17.44,221.47,1.18,3.86
DE111280,53.69,641.77,27.99,26.95,43.79,4.2,28.22,67.58,0,0,2.77,-0.06,0.08,17.48,223.41,1.18,3.86
DE111290,16.24,496.41,28.4,24.4,40.63,9.37,42.78,47.84,0,0,2.85,0.02,0.06,17.71,226.29,1.18,3.86
DE111300,124.74,465.59,28.68,26.55,40.91,5.43,36.41,58.16,0,0,2.77,-0.02,0.06,17.1,222.81,1.18,3.86
DE111310,205.14,718.64,31.16,17.47,47.52,7.94,56.8,35.26,0,0,2.57,0.01,0.09,16.95,225.39,1.18,3.86
DE111320,376.97,625.53,28.49,24.19,42.3,7.42,34.33,58.12,0,0.14,2.87,-0.05,0.09,16.69,217.46,1.18,3.86
DE111330,33.74,757.83,24.4,40.82,34.23,2.16,13.81,84.02,0,0,3.89,-0.2,0.1,16.9,213.89,1.18,3.86
DE111340,37.34,771.63,23.48,39.07,37.24,0.64,1.35,97.51,0.49,0,3.82,-0.11,0.1,16.48,208.29,1.18,3.86
DE111350,9.26,863.33,22.05,41.05,36.9,0,0,98.01,1.99,0,3.92,-0.12,0.12,16.2,207.09,1.18,3.86
DE111360,44.67,507.91,33.04,19.57,47.4,0,0.43,99.57,0,0,2.09,0.28,0.06,18.66,239.28,1.18,3.86
DE111370,75.8,577.41,35.54,13.15,47.07,5.52,45.27,49.2,0,0,2.37,0.14,0.06,15.65,207.18,1.18,3.86
DE111380,179.24,434.32,25.91,19.92,42.15,13.98,34.64,51.38,0,0,2.1,0.28,0.04,18.59,237.91,1.18,3.86
DE111390,138.38,550.82,27.03,20.43,41.01,14.18,47.86,37.95,0,0,2.37,0.32,0.05,17.83,230.42,1.18,3.86
DE111400,149.27,449.3,24.92,25.31,43,9.24,17.5,73.27,0,0,3.31,-0.03,0.04,17.25,217.44,1.18,3.86
DE111410,178.83,760.44,22.1,39.91,36.26,3.28,10.99,85.72,0,0,4.56,-0.22,0.1,16.42,204.46,1.18,3.86
DE111420,47.28,790.94,21.26,41.77,36.97,0.41,0,99.59,0,0,5.16,-0.21,0.11,16.06,200.96,1.18,3.86
DE111430,207.64,904.76,21.26,38.49,39.27,1.99,30.23,67.78,0,0,4.75,-0.17,0.11,16.14,202.9,1.18,3.86
DE111440,64.28,807.21,21.62,40.18,37.62,1.68,8.95,89.37,0,0,4.99,-0.23,0.1,16.42,203.76,1.18,3.86
DE111450,274.2,599.57,22.02,31.1,41.88,6.94,65.52,26.46,0.95,0.12,2.49,0.4,0.06,17,229.73,1.18,3.86
DE111460,273.72,575.24,23.58,32.69,40.56,4.52,66.34,29.05,0,0.09,2.64,0.32,0.05,17.8,229.27,1.18,3.86
DE111470,58.23,630.25,23.35,34.27,40.69,3.1,65.55,31.36,0,0,2.72,0.29,0.05,18.73,231.34,1.18,3.86
DE111480,355.63,904.73,23.58,35.41,38.99,3.69,38.04,57.96,0,0.32,3.33,-0.07,0.11,16.6,211.33,1.18,3.86
DE111490,108.79,610.4,26.6,32.96,39.52,1.48,10.69,87.83,0,0,4.55,-0.13,0.07,15.82,204.09,1.18,3.86
DE111500,69.89,804.82,27.35,34.68,37.98,0,26.58,73.42,0,0,4.66,-0.1,0.1,16.82,207.68,1.18,3.86
DE111510,75.6,642.76,26.57,26.54,43.91,5.63,28.97,65.39,0,0,3.45,-0.19,0.07,17.3,218.25,1.18,3.86
DE111550,76.16,320.65,29.04,21.98,40.53,8.99,52.89,38.12,0,0,2.34,0.15,0.04,18.05,233.44,1.18,3.86
DE111560,1661.64,546.41,27.73,22.11,41.55,11.55,33.34,55.04,0.03,0.03,2.62,0,0.06,16.35,217.96,1.18,3.86
DE111570,328.41,500.79,30.58,20.48,44.35,5.65,52.86,41.3,0,0.19,2.32,0.1,0.06,17.39,231.93,1.18,3.86
DE111580,192.9,378.51,25.69,17.08,39.3,20.7,50.04,29.26,0,0,2.03,0.25,0.04,18.58,239.47,1.18,3.86
DE111590,148.07,595.27,31.4,16.32,46.36,8.67,46.34,44.99,0,0,2.67,-0.08,0.07,17.64,227.14,1.18,3.86
DE111600,1956.65,414.06,31.34,18.97,44.21,7.05,53.32,39.63,0,0,2.47,0.03,0.05,16.63,223.34,1.18,3.86
DE111610,1823.98,398.11,32.28,17.21,46.91,4.85,64.98,30.14,0,0.03,2.28,0.01,0.05,15.98,225.64,1.18,3.86
DE111620,29.96,826.29,33.6,17.21,47.02,8.08,30.72,61.2,0,0,2.65,0.21,0.11,16.64,217.7,1.18,3.86
DE111630,1309.43,458.63,32.32,19.36,43.08,6.97,49.76,43.27,0,0,2.55,0.03,0.06,16.77,223.24,1.18,3.86
DE111640,214.08,677.18,28.32,16.4,44.62,13.9,44.99,41.11,0,0,2.47,0.25,0.07,17.33,228.6,1.18,3.86
DE111650,232.23,652.37,26.4,23.34,44.65,8.52,52.06,39.41,0,0,3.31,-0.19,0.08,17.03,216.4,1.18,3.86
DE111660,42.22,644.83,26.72,21.57,46.36,7.5,34.16,58.34,0,0,3.09,-0.2,0.09,17.5,222.43,1.19,3.86
DE111670,125.4,388.89,19.32,16.33,32.83,35.83,51.66,12.51,0,0,1.98,0.33,0.03,18.5,243.01,1.19,3.86
DE111680,141.01,318.88,28.93,21.32,44.09,6.64,56.02,37.34,0,0,2.29,0.09,0.04,18.35,234.68,1.19,3.86
DE111690,134.66,536.82,24.63,16.9,36.51,24.41,37.87,37.71,0,0,2.46,0.31,0.05,17.59,227.33,1.18,3.86
DE111700,59.59,312.47,29.46,17.43,48.7,6.64,69.84,23.52,0,0,2.38,-0.09,0.04,18.98,235.24,1.18,3.86
DE111710,155.42,364.62,26.73,19.7,48.45,7.89,43.71,48.4,0,0,2.62,-0.14,0.05,17.31,215.09,1.18,3.87
DE111720,1480.36,576.57,27.84,22.84,41.36,10.9,31.25,57.77,0.04,0.04,2.65,-0.01,0.06,16.25,218.82,1.19,3.87
DE111730,702.37,522.74,31.34,17.62,41.36,12,51.38,36.62,0,0,2.68,0.2,0.06,16.77,221.27,1.18,3.86
DE111740,755.37,490.08,31.4,21.27,41.93,7.11,42.86,50.04,0,0,2.63,0.04,0.06,17.2,222.6,1.19,3.86
DE111770,8.91,526.38,32.29,21.86,45.8,0,63.71,36.29,0,0,2.18,0.14,0.06,17.97,236.67,1.19,3.87
DE111780,27.72,813.54,32.18,27.05,39.19,3.69,32.35,63.96,0,0,2.42,0.24,0.09,18.52,231.92,1.19,3.87
DE111790,132.19,798.92,23.68,33.21,39.07,6.65,44.24,47.6,1.51,0,4.13,0.22,0.09,16.6,207.61,1.19,3.87
DE111810,60.54,922.3,25.25,35.53,39.2,0.34,21.56,78.1,0,0,4.81,0.17,0.13,16.59,206.15,1.19,3.86
DE111820,418.79,476.47,28.44,15.47,42.05,16.41,47.8,35.79,0,0,2.04,0.21,0.04,18.52,237.14,1.19,3.87
DE111830,160.02,726.98,30.34,16.3,50.11,5.67,46.82,47.21,0.29,0,2.47,0.21,0.1,17.19,222.68,1.19,3.86
DE111840,124.92,647.55,28.01,21.47,43.78,10.25,42.82,46.93,0,0,2.45,0.33,0.06,17.3,226.17,1.18,3.86
DE111850,126.41,845.21,23.89,38.61,37.25,0.44,21.73,77.83,0,0,4.37,-0.08,0.1,16.6,204.84,1.18,3.86
DE111860,30.96,529.29,24.7,30.16,38.05,10.01,19.38,70.61,0,0,4.46,-0.08,0.06,15.29,201.41,1.18,3.86
DE111870,103.36,524.59,27.88,29.97,39.58,3.44,20.63,75.92,0,0,3.62,0,0.05,16.6,211.34,1.18,3.86
DE111880,49.03,436.84,29,28.87,41.22,0,31.35,68.65,0,0,3.09,0.12,0.04,18.41,220.8,1.18,3.86
DE111890,1590.55,358.55,30.64,16.59,49.47,4.06,73.45,22.49,0,0,1.93,0.11,0.04,16.83,239.11,1.18,3.86
DE111900,107.96,709.61,32.97,14.46,48.48,5.73,32.95,61.32,0,0,2.71,0.26,0.08,17.48,221.8,1.18,3.86
DE111910,122.84,708.26,27.99,17.53,42.83,16.17,45.47,38.35,0,0,2.4,0.26,0.08,17.68,227.24,1.18,3.86
DE111920,1491.86,574.78,27.81,22.77,41.35,11.07,31.17,57.69,0.04,0.04,2.63,0,0.06,15.89,218.31,1.18,3.86
DE111940,492.63,508.95,31.34,20.53,41.47,8.64,48.37,42.99,0,0,2.61,0.05,0.07,17.39,225.28,1.18,3.86
DE111960,673.44,670.99,25.9,30.22,41.7,3.53,19.75,76.64,0,0.08,3.78,-0.1,0.08,16.47,206.34,1.18,3.86
DE111980,338.64,726.03,32.77,14.44,49.93,4.1,52.21,43.69,0,0,2.48,0.27,0.09,17.12,222.9,1.18,3.86
DE111990,164.19,603.42,21.6,30.67,42.66,4.05,63.9,25.98,4.92,1.15,2.24,0.43,0.06,17.81,235.01,1.18,3.86
DE112010,74.42,288.31,26.95,20.15,43.47,10.84,55.41,33.75,0,0,2.17,0.14,0.03,19.2,238.53,1.18,3.86
DE112020,45.98,319.89,28.87,13.82,54.02,3.36,80.27,16.37,0,0,1.89,0.15,0.04,18.35,246.09,1.18,3.86
DE112030,2226.39,493.47,27.53,20.79,41.79,12.53,38.72,48.71,0.02,0.02,2.33,0.06,0.05,17.4,224.23,1.18,3.86
DE112040,69.58,481.41,28.72,27.07,40.8,5.37,36.37,58.26,0,0,2.7,-0.03,0.06,17.84,227.36,1.18,3.86
DE112050,105.96,737.59,25.87,24.71,44.82,7.23,32.8,59.97,0,0,3.29,-0.07,0.09,17.08,214.79,1.18,3.86
DE112060,137.49,620.53,25.09,29.26,41.99,4.98,53.19,41.83,0,0,2.25,0.28,0.05,18.77,235.81,1.18,3.86
DE112070,232.24,274.71,26.79,17.42,43.24,15.1,48.99,35.92,0,0,2.47,0.06,0.03,18.54,230.61,1.18,3.86
DE112100,124.44,454.63,35.72,16.65,46.63,1.91,50.6,47.49,0,0,2.42,0.03,0.06,18.09,232.79,1.18,3.86
DE112110,89.25,506.68,30.57,20.68,44.82,4.77,64.86,30.37,0,0,2.31,0.09,0.06,17.55,233.24,1.18,3.86
DE112120,62.41,425.23,31.18,23.95,40.4,4.83,45.82,49.35,0,0,2.42,-0.01,0.05,18.24,231.58,1.18,3.86
DE112130,175.81,304.67,26.27,21.34,45.61,10.97,52.24,36.79,0,0,2.79,-0.02,0.05,17.56,217.64,1.18,3.86
DE112140,114.43,656.67,33.05,13.49,48.94,5.66,61.71,32.64,0,0,2.64,0.2,0.08,17.33,226.68,1.18,3.86
DE112160,285.52,716.04,24.29,36.43,38.42,2.72,3.86,93.24,0.19,0,3.26,-0.13,0.09,17.32,217.29,1.18,3.86
DE112180,126.73,737.06,28.81,16.08,43.94,14.99,41.57,43.44,0,0,2.48,0.28,0.08,17.95,231.53,1.18,3.86
DE112200,205.89,735.42,24.18,37.23,37.92,2.46,4.09,93.27,0.17,0,3.31,-0.13,0.1,17.42,217.18,1.18,3.86
DE112220,152.96,346.92,28.25,20.37,42.82,10.18,55.91,33.9,0,0,2.26,0.06,0.05,19.17,236.63,1.18,3.86
DE112260,115.99,772.75,23.39,38.75,37.19,2.8,2.37,94.52,0.31,0,3.57,-0.16,0.1,18.48,215.5,1.18,3.86
DE112280,167.19,481.34,29.97,17.56,38,18.19,51.94,29.87,0,0,2.62,0.09,0.06,18.11,230.91,1.18,3.86
DE112310,489.37,689.77,29.27,16.24,48.48,9.23,55.23,35.44,0.1,0,2.3,0.26,0.09,17.8,229.5,1.18,3.86
DE112320,108.11,520.22,31.58,18.94,45.12,5.24,68.71,26.05,0,0,2.13,0.14,0.07,18.47,239.83,1.18,3.86
DE112330,930.82,613.4,26.58,29.97,41.02,3.65,22.16,74.13,0,0.06,3.41,-0.08,0.07,15.78,212.29,1.18,3.86
DE112350,360.93,633.36,32.24,15.57,46.1,8,53.57,38.43,0,0,2.71,0.18,0.08,16.17,223.79,1.18,3.86
DE112360,181.31,310.07,29.68,13.36,53.56,5.46,77.99,16.55,0,0,1.82,0.19,0.04,19.47,251.07,1.18,3.87
DE112370,176.35,232.93,27.43,17.36,44.1,11.81,55.91,32.28,0,0,2.03,0.08,0.03,19.94,243.42,1.18,3.87
DE112380,161.11,208.64,27.4,16.94,47.62,9.35,69.13,21.52,0,0,1.97,0.09,0.03,19.41,243.77,1.18,3.87
